SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-25-2019,Single Family Residential,2290 Lindaire Ave,SAN JOSE,CA,95128,1300000,3,2.0,SAN JOSE,1575,10581,1952,898,825,,Sold,,,https://www.redfin.com/CA/San-Jose/2290-Lindaire-Ave-95128/home/1593963,MLSListings,ML81754863,N,Y,37.308134,-121.9339117
PAST SALE,June-25-2020,Single Family Residential,410 Pamlar Ave,SAN JOSE,CA,95128,1221250,3,2.0,SAN JOSE,1222,9095,1950,532,999,,Sold,,,https://www.redfin.com/CA/San-Jose/410-Pamlar-Ave-95128/home/725358,MLSListings,ML81792879,N,Y,37.2991019,-121.9392005
PAST SALE,November-23-2020,Townhouse,1435 Alegria Loop,SAN JOSE,CA,95128,805000,2,2.5,SAN JOSE,1860,748,2003,381,433,445,Sold,,,https://www.redfin.com/CA/San-Jose/1435-Alegria-Loop-95128/home/1043282,MLSListings,ML81812114,N,Y,37.3007413,-121.929944
PAST SALE,July-3-2019,Single Family Residential,2261 Peachtree Ln,SAN JOSE,CA,95128,1241000,3,1.0,SAN JOSE,1134,7613,1949,890,1094,,Sold,,,https://www.redfin.com/CA/San-Jose/2261-Peachtree-Ln-95128/home/716582,MLSListings,ML81754225,N,Y,37.3343319,-121.9424003
PAST SALE,July-17-2019,Single Family Residential,3170 Riddle Rd,SAN JOSE,CA,95117,1220000,3,3.0,SAN JOSE,1766,7956,1948,876,691,,Sold,,,https://www.redfin.com/CA/San-Jose/3170-Riddle-Rd-95117/home/1683070,MLSListings,ML81745566,N,Y,37.3151325,-121.9522659
PAST SALE,May-9-2019,Single Family Residential,2540 Bailey Ave,SAN JOSE,CA,95128,1135000,2,2.0,SAN JOSE,1423,9441,1953,945,798,,Sold,,,https://www.redfin.com/CA/San-Jose/2540-Bailey-Ave-95128/home/1082320,MLSListings,ML81745572,N,Y,37.3247416,-121.9381783
PAST SALE,March-16-2021,Single Family Residential,2478 Scott St,SAN JOSE,CA,95128,1450000,4,2.0,SAN JOSE,1634,6578,1947,268,887,,Sold,,,https://www.redfin.com/CA/San-Jose/2478-Scott-St-95128/home/1353580,MLSListings,ML81828778,N,Y,37.3196081,-121.9373783
PAST SALE,March-2-2018,Single Family Residential,2069 Rexford Way,SAN JOSE,CA,95128,1000068,2,1.0,SAN JOSE,1070,6066,1958,1378,935,,Sold,,,https://www.redfin.com/CA/San-Jose/2069-Rexford-Way-95128/home/1564368,MLSListings,ML81691147,N,Y,37.3124156,-121.9293688
PAST SALE,July-12-2019,Single Family Residential,553 N Baywood Ave,SAN JOSE,CA,95128,1050000,3,1.0,SAN JOSE,1134,5416,1950,881,926,,Sold,,,https://www.redfin.com/CA/San-Jose/553-N-Baywood-Ave-95128/home/1353502,MLSListings,ML81754493,N,Y,37.3276236,-121.9454668
PAST SALE,September-14-2018,Townhouse,3171 Payne Ave #56,SAN JOSE,CA,95117,800000,1,1.5,SAN JOSE,1070,1554,1976,1182,748,280,Sold,,,https://www.redfin.com/CA/San-Jose/3171-Payne-Ave-95117/unit-56/home/732446,MLSListings,ML81719742,N,Y,37.3021107,-121.9518882
PAST SALE,March-26-2020,Townhouse,1472 Alegria Loop,SAN JOSE,CA,95128,900000,2,2.5,SAN JOSE,1860,1600,2002,623,484,445,Sold,,,https://www.redfin.com/CA/San-Jose/1472-Alegria-Loop-95128/home/1572896,MLSListings,ML81783149,N,Y,37.3009781,-121.9292387
PAST SALE,May-24-2019,Townhouse,2950 Moorpark Ave,SAN JOSE,CA,95128,985000,2,2.5,SAN JOSE,1259,908,1981,930,782,370,Sold,,,https://www.redfin.com/CA/San-Jose/2950-Moorpark-Ave-95128/home/723885,MLSListings,ML81747606,N,Y,37.3150783,-121.9466781
PAST SALE,October-26-2018,Single Family Residential,525 Patton Ave,SAN JOSE,CA,95128,1175000,2,1.5,SAN JOSE,1293,6499,1946,1140,909,,Sold,,,https://www.redfin.com/CA/San-Jose/525-Patton-Ave-95128/home/885018,MLSListings,ML81723962,N,Y,37.3192019,-121.9349783
