SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-6-2019,Single Family Residential,1377 York Ave,CAMPBELL,CA,95008,1925000,4,3.0,CAMPBELL,2054,6587,2018,948,937,,Sold,,,https://www.redfin.com/CA/Campbell/1377-York-Ave-95008/home/1623360,MLSListings,ML81743554,N,Y,37.2669813,-121.9782589
PAST SALE,July-29-2021,Townhouse,14570 S Bascom Ave,LOS GATOS,CA,95032,965000,2,2.5,LOS GATOS,1334,552,1980,133,723,415,Sold,,,https://www.redfin.com/CA/Los-Gatos/14570-S-Bascom-Ave-95032/home/1477243,MLSListings,ML81847829,N,Y,37.2568383,-121.9500402
PAST SALE,September-3-2020,Single Family Residential,985 Linda Dr,CAMPBELL,CA,95008,1425000,4,3.0,CAMPBELL,1591,6076,1961,462,896,,Sold,,,https://www.redfin.com/CA/Campbell/985-Linda-Dr-95008/home/1451944,MLSListings,ML81802574,N,Y,37.2738232,-121.9662629
PAST SALE,July-24-2020,Single Family Residential,648 Ginden Dr,CAMPBELL,CA,95008,1430000,3,2.0,CAMPBELL,1478,6037,1961,503,968,,Sold,,,https://www.redfin.com/CA/Campbell/648-Ginden-Dr-95008/home/1861192,MLSListings,ML81796092,N,Y,37.2766175,-121.9749712
PAST SALE,April-15-2020,Single Family Residential,1940 Dry Creek Rd,SAN JOSE,CA,95124,2470000,3,3.0,SAN JOSE,3030,20980,1964,603,815,,Sold,,,https://www.redfin.com/CA/San-Jose/1940-Dry-Creek-Rd-95124/home/1710841,MLSListings,ML81789539,N,Y,37.2801939,-121.9294893
PAST SALE,June-25-2020,Single Family Residential,410 Pamlar Ave,SAN JOSE,CA,95128,1221250,3,2.0,SAN JOSE,1222,9095,1950,532,999,,Sold,,,https://www.redfin.com/CA/San-Jose/410-Pamlar-Ave-95128/home/725358,MLSListings,ML81792879,N,Y,37.2991019,-121.9392005
PAST SALE,April-16-2020,Single Family Residential,657 Harrison Ave,CAMPBELL,CA,95008,1301000,3,2.0,CAMPBELL,1176,6929,1955,602,1106,,Sold,,,https://www.redfin.com/CA/Campbell/657-Harrison-Ave-95008/home/1283147,MLSListings,ML81785480,N,Y,37.2966668,-121.9428003
PAST SALE,February-8-2021,Single Family Residential,1999 Campbell Ave,SAN JOSE,CA,95125,2050000,4,2.5,SAN JOSE,2895,10656,1963,304,708,,Sold,,,https://www.redfin.com/CA/San-Jose/1999-Campbell-Ave-95125/home/1497609,MLSListings,ML81826465,N,Y,37.286929846,-121.9224067
PAST SALE,November-13-2017,Single Family Residential,220 Friar Way,CAMPBELL,CA,95008,1150000,3,2.0,CAMPBELL,1503,6180,1957,1487,765,,Sold,,,https://www.redfin.com/CA/Campbell/220-Friar-Way-95008/home/1847121,MLSListings,ML81680176,N,Y,37.275608,-121.9531991
PAST SALE,November-22-2017,Single Family Residential,2411 Lascar Pl,SAN JOSE,CA,95124,1320000,3,2.5,SAN JOSE,2064,4850,1979,1478,640,,Sold,,,https://www.redfin.com/CA/San-Jose/2411-Lascar-Pl-95124/home/1286227,MLSListings,ML81681175,N,Y,37.2567678,-121.9484442
PAST SALE,May-7-2018,Single Family Residential,504 Century Dr,CAMPBELL,CA,95008,1363288,3,2.0,CAMPBELL,1170,8250,1955,1312,1165,,Sold,,,https://www.redfin.com/CA/Campbell/504-Century-Dr-95008/home/1049665,MLSListings,ML81696059,N,Y,37.2795559,-121.9639524
PAST SALE,November-24-2021,Single Family Residential,412 W Sunnyoaks Ave,CAMPBELL,CA,95008,1281000,3,3.0,CAMPBELL,1759,1750,1991,15,728,445,Sold,,,https://www.redfin.com/CA/Campbell/412-W-Sunnyoaks-Ave-95008/home/946381,MLSListings,ML81866745,N,Y,37.272003,-121.957293
