SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-10-2018,Single Family Residential,916 Forest Ridge Dr,SAN JOSE,CA,95129,2380000,5,3.0,SAN JOSE,2239,6000,1967,1248,1063,,Sold,,,https://www.redfin.com/CA/San-Jose/916-Forest-Ridge-Dr-95129/home/1227933,MLSListings,ML81709982,N,Y,37.3110378,-121.9943403
PAST SALE,March-23-2020,Single Family Residential,18825 Tuggle Ave,CUPERTINO,CA,95014,2660000,4,3.5,CUPERTINO,2243,6035,2012,626,1186,,Sold,,,https://www.redfin.com/CA/Cupertino/18825-Tuggle-Ave-95014/home/1777961,MLSListings,ML81782432,N,Y,37.3142223,-122.0012919
PAST SALE,July-26-2021,Single Family Residential,10560 Castine Ave,CUPERTINO,CA,95014,2830000,4,2.5,CUPERTINO,2394,7497,1968,136,1182,,Sold,,,https://www.redfin.com/CA/Cupertino/10560-Castine-Ave-95014/home/1202157,MLSListings,ML81849267,N,Y,37.3311184,-122.0461446
PAST SALE,April-17-2018,Single Family Residential,10340 Las Ondas Way,CUPERTINO,CA,95014,2798000,4,2.5,CUPERTINO,2310,7200,1962,1332,1211,,Sold,,,https://www.redfin.com/CA/Cupertino/10340-Las-Ondas-Way-95014/home/1700733,MLSListings,ML81695379,N,Y,37.3179575,-122.0242313
PAST SALE,May-31-2017,Single Family Residential,1120 Elmsford Dr,CUPERTINO,CA,95014,1860000,3,2.5,CUPERTINO,1724,6804,1966,1653,1079,,Sold,,,https://www.redfin.com/CA/Cupertino/1120-Elmsford-Dr-95014/home/1622624,MLSListings,ML81648326,N,Y,37.3059504,-122.045856
PAST SALE,February-4-2019,Single Family Residential,1035 W Homestead Rd,SUNNYVALE,CA,94087,2200000,4,3.0,SUNNYVALE,2443,7171,1958,1039,901,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1035-W-Homestead-Rd-94087/home/995910,MLSListings,ML81733182,N,Y,37.3377917,-122.0566224
PAST SALE,November-19-2021,Single Family Residential,10612 Gascoigne Dr,CUPERTINO,CA,95014,1950000,3,2.0,CUPERTINO,1249,5073,1955,20,1561,,Sold,,,https://www.redfin.com/CA/Cupertino/10612-Gascoigne-Dr-95014/home/664682,MLSListings,ML81869635,N,Y,37.3131615,-121.9985158
PAST SALE,March-16-2017,Townhouse,10059 Dove Oak Ct,CUPERTINO,CA,95014,1315000,3,2.5,CUPERTINO,1710,1862,1972,1729,769,365,Sold,,,https://www.redfin.com/CA/Cupertino/10059-Dove-Oak-Ct-95014/home/779436,MLSListings,ML81639484,N,Y,37.322846,-122.072993
PAST SALE,July-12-2019,Single Family Residential,10590 S Tantau Ave,CUPERTINO,CA,95014,2090000,3,3.0,CUPERTINO,1964,5355,1953,881,1064,,Sold,,,https://www.redfin.com/CA/Cupertino/10590-S-Tantau-Ave-95014/home/1793012,MLSListings,ML81753390,N,Y,37.3143436,-122.0073104
PAST SALE,July-9-2018,Townhouse,11030 Firethorne Dr,CUPERTINO,CA,95014,1307000,2,2.5,CUPERTINO,1385,2331,1977,1249,944,325,Sold,,,https://www.redfin.com/CA/Cupertino/11030-Firethorne-Dr-95014/home/772361,MLSListings,ML81708624,N,Y,37.3382695,-122.032713
MLS Listing,,Townhouse,10123 Amador Oak Ct,CUPERTINO,CA,95014,1398000,3,2.5,CUPERTINO,1341,1598,1970,2,1043,370,Active,December-11-2021 01:00 PM,December-11-2021 04:00 PM,https://www.redfin.com/CA/Cupertino/10123-Amador-Oak-Ct-95014/home/1358641,MLSListings,ML81871969,N,Y,37.324138,-122.070674
MLS Listing,,Single Family Residential,10526 Sterling Blvd,CUPERTINO,CA,95014,1900000,3,2.0,CUPERTINO,1153,10804,1954,3,1648,,Active,,,https://www.redfin.com/CA/Cupertino/10526-Sterling-Blvd-95014/home/795529,MLSListings,ML81871816,N,Y,37.3148104,-121.9967834
MLS Listing,,Single Family Residential,11351 Bubb Rd,CUPERTINO,CA,95014,3875000,4,2.5,CUPERTINO,2492,10191,1969,4,1555,,Active,,,https://www.redfin.com/CA/Cupertino/11351-Bubb-Rd-95014/home/784523,MLSListings,ML81871837,N,Y,37.3030625,-122.0506955
MLS Listing,,Single Family Residential,1050 W Riverside Way,SAN JOSE,CA,95129,2499888,4,3.0,SAN JOSE,1970,8980,1956,6,1269,,Active,,,https://www.redfin.com/CA/San-Jose/1050-W-Riverside-Way-95129/home/1581468,MLSListings,ML81871648,N,Y,37.3080382,-122.021811
MLS Listing,,Single Family Residential,902 Fort Baker Dr,CUPERTINO,CA,95014,2688000,5,2.5,CUPERTINO,2397,6460,1963,8,1121,,Active,,,https://www.redfin.com/CA/Cupertino/902-Fort-Baker-Dr-95014/home/755761,MLSListings,ML81871436,N,Y,37.3131478,-122.0547356
MLS Listing,,Townhouse,6137 Elmbridge Dr,SAN JOSE,CA,95129,1488000,3,2.5,SAN JOSE,1214,1583,1971,9,1226,357,Active,,,https://www.redfin.com/CA/San-Jose/6137-Elmbridge-Dr-95129/home/1659388,MLSListings,ML81871269,N,Y,37.30982,-122.010731
MLS Listing,,Single Family Residential,14900 Pierce Rd,SARATOGA,CA,95070,2780000,5,4.0,SARATOGA,4413,82812,2020,41,630,,Active,,,https://www.redfin.com/CA/Saratoga/14900-Pierce-Rd-95070/home/906588,MLSListings,ML81868566,N,Y,37.2549499,-122.0707215
MLS Listing,,Single Family Residential,13119 Montebello Rd,CUPERTINO,CA,95014,4100000,3,2.0,CUPERTINO,1100,299746,2020,78,3727,,Active,December-11-2021 01:00 PM,December-11-2021 03:00 PM,https://www.redfin.com/CA/Cupertino/13119-Montebello-Rd-95014/home/168878875,MLSListings,ML81846567,N,Y,37.2895856,-122.0904056
MLS Listing,,Single Family Residential,17950 Stevens Canyon Rd,CUPERTINO,CA,95014,799888,2,1.0,CUPERTINO,850,19045,1920,79,941,,Active,,,https://www.redfin.com/CA/Cupertino/17950-Stevens-Canyon-Rd-95014/home/786334,MLSListings,ML81863668,N,Y,37.2826115,-122.1213202
MLS Listing,,Single Family Residential,10146 Alpine Dr,CUPERTINO,CA,95014,5999950,9,8.0,CUPERTINO,4550,10897,1975,87,1319,,Active,,,https://www.redfin.com/CA/Cupertino/10146-Alpine-Dr-95014/unit-1/home/1709065,MLSListings,ML81862472,N,Y,37.3254346,-122.0662113
MLS Listing,,Single Family Residential,11041 Stevens Canyon Rd,CUPERTINO,CA,95014,2499900,2,1.0,CUPERTINO,900,858089,1940,263,2778,,Active,,,https://www.redfin.com/CA/Cupertino/11041-Stevens-Canyon-Rd-95014/home/12343865,MLSListings,ML81835185,N,Y,37.3084606,-122.0719044
PAST SALE,March-8-2019,Single Family Residential,10510 Deodara Dr,CUPERTINO,CA,95014,2010000,3,2.0,CUPERTINO,1568,7704,1961,1007,1282,,Sold,,,https://www.redfin.com/CA/Cupertino/10510-Deodara-Dr-95014/home/765304,MLSListings,ML81736915,N,Y,37.3304822,-122.0201234
PAST SALE,January-19-2017,Single Family Residential,19936 Baywood Dr,CUPERTINO,CA,95014,1906000,4,2.0,CUPERTINO,1769,7490,1961,1785,1077,,Sold,,,https://www.redfin.com/CA/Cupertino/19936-Baywood-Dr-95014/home/1635526,MLSListings,ML81636179,N,Y,37.3291471,-122.021811
PAST SALE,September-29-2020,Single Family Residential,830 Louise Dr,SUNNYVALE,CA,94087,2450000,4,2.0,SUNNYVALE,1942,8188,1959,436,1262,,Sold,,,https://www.redfin.com/CA/Sunnyvale/830-Louise-Dr-94087/home/1358463,MLSListings,ML81806635,N,Y,37.3380968,-122.0476542
