SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,2356 Roosevelt Cir,Santa Clara,CA,95051,1655000,4,2.0,,1288,6300,1968,,1285,,,,,https://www.redfin.com/CA/Santa-Clara/2356-Roosevelt-Cir-95051/home/1453400,,,N,Y,37.3655542,-121.9682179
PAST SALE,October-10-2017,Single Family Residential,2536 Parkland Ct,SANTA CLARA,CA,95051,1080000,3,2.0,SANTA CLARA,1316,5600,1954,1521,821,,Sold,,,https://www.redfin.com/CA/Santa-Clara/2536-Parkland-Ct-95051/home/1514071,MLSListings,ML81676329,N,Y,37.369684,-121.979918
PAST SALE,October-5-2018,Single Family Residential,956 Baird Ave,SANTA CLARA,CA,95054,1182375,4,2.0,SANTA CLARA,1466,7618,1961,1161,807,,Sold,,,https://www.redfin.com/CA/Santa-Clara/956-Baird-Ave-95054/home/12170887,MLSListings,ML81721796,N,Y,37.3873786,-121.9502218
PAST SALE,August-15-2018,Single Family Residential,2177 Augusta Pl,SANTA CLARA,CA,95051,1410000,3,2.0,SANTA CLARA,1095,5983,1958,1212,1288,,Sold,,,https://www.redfin.com/CA/Santa-Clara/2177-Augusta-Pl-95051/home/608845,MLSListings,ML81714914,N,Y,37.3621084,-121.9761708
PAST SALE,October-28-2019,Townhouse,2323 Running Water Ct,SANTA CLARA,CA,95054,1080000,3,2.5,SANTA CLARA,1400,1470,1973,773,771,355,Sold,,,https://www.redfin.com/CA/Santa-Clara/2323-Running-Water-Ct-95054/home/1396484,MLSListings,ML81768267,N,Y,37.393497,-121.965775
PAST SALE,July-2-2019,Single Family Residential,788 Orkney Ave,SANTA CLARA,CA,95054,1050000,3,2.0,SANTA CLARA,1097,6242,1961,891,957,,Sold,,,https://www.redfin.com/CA/Santa-Clara/788-Orkney-Ave-95054/home/12170954,MLSListings,ML81756181,N,Y,37.3891652,-121.9477777
PAST SALE,June-20-2017,Single Family Residential,2271 Bowers Ave,SANTA CLARA,CA,95051,1110000,3,2.0,SANTA CLARA,1207,6000,1960,1633,920,,Sold,,,https://www.redfin.com/CA/Santa-Clara/2271-Bowers-Ave-95051/home/1723572,MLSListings,ML81652760,N,Y,37.3638137,-121.9753711
PAST SALE,May-7-2021,Single Family Residential,2757 Toledo,SANTA CLARA,CA,95051,1751000,3,2.0,SANTA CLARA,1254,5626,1955,216,1396,,Sold,,,https://www.redfin.com/CA/Santa-Clara/2757-Toledo-Ave-95051/home/1060127,MLSListings,ML81835078,N,Y,37.3360836,-121.9741049
PAST SALE,October-21-2021,Single Family Residential,1208 Manzano Way,SUNNYVALE,CA,94089,1430000,4,2.0,SUNNYVALE,1495,5659,1958,49,957,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1208-Manzano-Way-94089/home/583395,MLSListings,ML81863174,N,Y,37.3973688,-121.9877881
PAST SALE,March-29-2019,Single Family Residential,658 Enright Ave,SANTA CLARA,CA,95050,1375000,3,2.0,SANTA CLARA,1670,5894,1950,986,823,,Sold,,,https://www.redfin.com/CA/Santa-Clara/658-Enright-Ave-95050/home/1264150,MLSListings,ML81740741,N,Y,37.3400249,-121.959198
