SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-29-2021,Townhouse,973 Asilomar Ter #4,SUNNYVALE,CA,94086,1230000,2,2.5,SUNNYVALE,1553,1,1991,10,792,505,Sold,,,https://www.redfin.com/CA/Sunnyvale/973-Asilomar-Ter-94086/unit-4/home/1867645,MLSListings,ML81862670,N,Y,37.3829933,-122.0417268
PAST SALE,September-8-2021,Single Family Residential,353 Florence St,SUNNYVALE,CA,94086,2500000,3,2.5,SUNNYVALE,1688,4964,2000,92,1481,,Sold,,,https://www.redfin.com/CA/Sunnyvale/353-Florence-St-94086/home/1485439,MLSListings,ML81861933,N,Y,37.3748104,-122.0375086
PAST SALE,February-17-2017,Townhouse,638 Antioch Ter,SUNNYVALE,CA,94085,849000,2,2.5,SUNNYVALE,1277,867,2006,1756,665,235,Sold,,,https://www.redfin.com/CA/Sunnyvale/638-Antioch-Ter-94085/home/2098878,MLSListings,ML81635968,N,Y,37.3940791,-122.0121476
PAST SALE,May-14-2018,Single Family Residential,421 Central Ave,SUNNYVALE,CA,94086,1700000,3,2.0,SUNNYVALE,1200,5187,1944,1305,1417,,Sold,,,https://www.redfin.com/CA/Sunnyvale/421-Central-Ave-94086/home/1024221,MLSListings,ML81701263,N,Y,37.3713462,-122.0249862
PAST SALE,October-15-2020,Single Family Residential,1111 Burntwood Ct,SUNNYVALE,CA,94089,1300000,3,2.0,SUNNYVALE,1108,6300,1958,420,1173,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1111-Burntwood-Ct-94089/home/1411421,MLSListings,ML81808690,N,Y,37.3966244,-121.9944292
PAST SALE,March-18-2021,Single Family Residential,150 S Pastoria Ave,SUNNYVALE,CA,94086,2180000,3,2.5,SUNNYVALE,1799,5799,1942,266,1212,,Sold,,,https://www.redfin.com/CA/Sunnyvale/150-S-Pastoria-Ave-94086/home/1822514,MLSListings,ML81828126,N,Y,37.3789464,-122.0377306
PAST SALE,October-21-2021,Townhouse,929 Delano Ter #1,SUNNYVALE,CA,94085,1730000,4,3.5,SUNNYVALE,1960,500,2019,49,883,329,Sold,,,https://www.redfin.com/CA/Sunnyvale/929-Delano-Ter-94085/unit-1/home/172930042,MLSListings,ML81860632,N,Y,37.387569,-122.004178
PAST SALE,January-3-2019,Single Family Residential,1655 Longspur Ave,SUNNYVALE,CA,94087,1790000,3,2.0,SUNNYVALE,1284,6300,1959,1071,1394,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1655-Longspur-Ave-94087/home/760266,MLSListings,ML81731915,N,Y,37.3396434,-122.0163929
PAST SALE,April-16-2020,Single Family Residential,1076 Cornflower Ct,SUNNYVALE,CA,94086,2035000,4,2.0,SUNNYVALE,1530,6425,1969,602,1330,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1076-Cornflower-Ct-94086/home/993359,MLSListings,ML81784237,N,Y,37.3645453,-122.0019804
PAST SALE,June-10-2021,Single Family Residential,847 Laburnum Dr,SUNNYVALE,CA,94086,2250000,5,3.0,SUNNYVALE,2221,6149,1966,182,1013,,Sold,,,https://www.redfin.com/CA/Sunnyvale/847-Laburnum-Dr-94086/home/1763756,MLSListings,ML81841413,N,Y,37.3611358,-122.016837
PAST SALE,November-2-2020,Townhouse,105 Maidenhair Ter,SUNNYVALE,CA,94086,1179800,2,2.5,SUNNYVALE,1368,1368,2017,402,862,325,Sold,,,https://www.redfin.com/CA/Sunnyvale/105-Maidenhair-Ter-94086/home/143043250,MLSListings,ML81809229,N,Y,37.3733242,-122.0148774
PAST SALE,February-1-2018,Single Family Residential,1634 Quail Ave,SUNNYVALE,CA,94087,2250000,3,2.0,SUNNYVALE,1524,6600,1957,1407,1476,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1634-Quail-Ave-94087/home/633913,MLSListings,ML81687908,N,Y,37.3397007,-122.0051784
PAST SALE,June-11-2021,Single Family Residential,571 S Taaffe St,SUNNYVALE,CA,94086,1415000,2,1.0,SUNNYVALE,1040,5000,1932,181,1361,,Sold,,,https://www.redfin.com/CA/Sunnyvale/571-S-Taaffe-St-94086/home/664903,MLSListings,ML81839271,N,Y,37.3697064,-122.035022
PAST SALE,July-26-2021,Single Family Residential,1622 Quail Ave,SUNNYVALE,CA,94087,2330000,3,2.0,SUNNYVALE,1524,6961,1957,136,1529,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1622-Quail-Ave-94087/home/1683411,MLSListings,ML81846221,N,Y,37.3401755,-122.0052228
PAST SALE,February-4-2019,Single Family Residential,1035 W Homestead Rd,SUNNYVALE,CA,94087,2200000,4,3.0,SUNNYVALE,2443,7171,1958,1039,901,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1035-W-Homestead-Rd-94087/home/995910,MLSListings,ML81733182,N,Y,37.3377917,-122.0566224
PAST SALE,November-17-2020,Townhouse,105 Berkeley Ter,SUNNYVALE,CA,94086,1500000,3,2.5,SUNNYVALE,1912,2653,1988,387,785,275,Sold,,,https://www.redfin.com/CA/Sunnyvale/105-Berkeley-Ter-94086/home/781033,MLSListings,ML81813873,N,Y,37.380527,-122.0279924
PAST SALE,September-6-2018,Single Family Residential,3009 Agate Dr,SANTA CLARA,CA,95051,1034000,3,1.0,SANTA CLARA,897,6384,1954,1190,1153,,Sold,,,https://www.redfin.com/CA/Santa-Clara/3009-Agate-Dr-95051/home/1786413,MLSListings,ML81717103,N,Y,37.3700507,-121.9815909
PAST SALE,August-22-2018,Townhouse,190 Barranca Ter,SUNNYVALE,CA,94086,1680000,3,2.5,SUNNYVALE,1805,1093,2009,1205,931,235,Sold,,,https://www.redfin.com/CA/Sunnyvale/190-Barranca-Ter-94086/home/18984039,MLSListings,ML81713569,N,Y,37.381285,-122.0540336
PAST SALE,October-19-2018,Single Family Residential,159 Piedra Dr,SUNNYVALE,CA,94086,1930000,5,2.0,SUNNYVALE,1755,9700,1956,1147,1100,,Sold,,,https://www.redfin.com/CA/Sunnyvale/159-Piedra-Dr-94086/home/1280782,MLSListings,ML81723193,N,Y,37.380093,-122.0435028
PAST SALE,November-5-2020,Single Family Residential,1033 Reed Ave,SUNNYVALE,CA,94086,1665000,3,2.0,SUNNYVALE,1400,4716,1969,399,1189,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1033-Reed-Ave-94086/home/1224440,MLSListings,ML81812143,N,Y,37.3670374,-122.0044233
PAST SALE,June-10-2019,Townhouse,1149 Kassel Ter,SUNNYVALE,CA,94089,1420000,3,2.5,SUNNYVALE,1720,860,2007,913,826,250,Sold,,,https://www.redfin.com/CA/Sunnyvale/1149-Kassel-Ter-94089/home/12179476,MLSListings,ML81749172,N,Y,37.40282,-122.013859
